,0
ASIANPAINT,5.3050460949855
AXISBANK,4.45053090038327
BAJFINANCE,4.744928182806199
BHARTIARTL,5.17870712426497
HCLTECH,5.27266739586852
HDFC,4.89793240659745
HDFCBANK,5.0882842942981
HINDUNILVR,5.46438474485979
ICICIBANK,4.5170274183420105
INFY,5.29483981039163
ITC,5.39248902675127
KOTAKBANK,4.94335575111937
LT,4.86350114073377
MARUTI,5.01630787685359
NESTLEIND,3.7520838904443403
RELIANCE,5.01107450303204
SBIN,4.63781673478414
SUNPHARMA,5.39722219405121
TCS,5.38208037797089
WIPRO,5.38972013146196
